Year,Population (in thousands),Agricultural workers (thousands),Industrial workers (thousands),Service workers (thousands),GDP (in Bil. US$nominal),Inflation rate,Unemployment (thousands),res index,Sum of Domestic food supply (t),Sum of food Production (t),Sum of Yield (t/ha),Labour productivity
1981 Q1,24819.9,397.1666667,3092,7417.866667,307.2,13,1.8863124,0.903746193,6916000,6682600,5.8573,67.412
1981 Q2,,455.4,3301.8,7640.666667,,,,,,,,
1981 Q3,,484.1,3456.9,7749.733333,,,,,,,,
1981 Q4,,413.7333333,3204.666667,7606.133333,,,,,,,,
1982 Q1,25116.9,389.3666667,2938.5,7499.766667,314.6,11,2.7879759,0.890127794,6323000,6522300,5.8812,67.603
1982 Q2,,451.1,2986.066667,7620.933333,,,,,,,,
1982 Q3,,492.6,3024.333333,7642.133333,,,,,,,,
1982 Q4,,435.1,2799.533333,7495.266667,,,,,,,,
1983 Q1,25366.5,410.1333333,2647.166667,7437.566667,341.9,6,3.04398,0.876703858,6483000,5931000,5.5176997,70.481
1983 Q2,,460.5,2871.7,7696.8,,,,,,,,
1983 Q3,,498.8,3069.1,7872.733333,,,,,,,,
1983 Q4,,436.5,2908.133333,7778.833333,,,,,,,,
1984 Q1,25607.1,402.3,2743.866667,7702.733333,356.7,4,2.9192094,0.861632273,6493000,6777500,5.8971,72.895
1984 Q2,,460.3666667,2956.866667,7900.933333,,,,,,,,
1984 Q3,,479.1,3129.7,8075.9,,,,,,,,
1984 Q4,,411.9333333,2971.266667,7971.933333,,,,,,,,
1985 Q1,25842.1,397.6333333,2822.966667,7952.5,366.2,4,2.7134205,0.846999818,7207000,6969900,6.2043,74.691
1985 Q2,,460.2333333,3014.466667,8192.7,,,,,,,,
1985 Q3,,499.2333333,3196.966667,8333.766667,,,,,,,,
1985 Q4,,439.7666667,3073.733333,8248.1,,,,,,,,
1986 Q1,26100.3,421.3,2962.233333,8199.1,379,4,2.5056288,0.831673549,6550000,5911500,5.9484,73.413
1986 Q2,,482.5333333,3134.066667,8465.366667,,,,,,,,
1986 Q3,,510,3233.566667,8601.5,,,,,,,,
1986 Q4,,452.1333333,3088.233333,8483.966667,,,,,,,,
1987 Q1,26446.6,422.4,2929.7,8444.666667,433.1,4,2.3273008,0.814040591,7190000,7014800,7.0197,73.537
1987 Q2,,481.2,3169.3,8703.1,,,,,,,,
1987 Q3,,512.8666667,3348.933333,8837.533333,,,,,,,,
1987 Q4,,441.4333333,3229.633333,8811.333333,,,,,,,,
1988 Q1,26791.7,418.1333333,3082.833333,8787.033333,509.4,4,2.0897526,0.795991464,5887000,5369200,5.4709997,75.136
1988 Q2,,460.1666667,3296.533333,9001.666667,,,,,,,,
1988 Q3,,490.2,3474.6,9065.5,,,,,,,,
1988 Q4,,433.9333333,3328.3,8999.4,,,,,,,,
1989 Q1,27276.8,410.6,3190.833333,9007,567.2,5,2.04576,0.77903891,7492000,6571000,6.3511996,75.265
1989 Q2,,454.4666667,3392.066667,9183.4,,,,,,,,
1989 Q3,,485.4333333,3555.3,9288.233333,,,,,,,,
1989 Q4,,421.2,3372.8,9223.3,,,,,,,,
1990 Q1,27691.1,405.3,3189.3,9179.066667,596.1,4.566666667,2.2706702,0.762610299,7133000,7066000,6.8602,75.207
1990 Q2,,448.5333333,3355.6,9387.466667,,4.566666667,,,,,,
1990 Q3,,480.2666667,3483.866667,9459.333333,,4.4,,,,,,
1990 Q4,,421.9666667,3211.1,9323.666667,,4.666666667,,,,,,
1991 Q1,28037.4,407.9666667,2924.666667,9174.3,612.5,4.8,2.8878522,0.746424078,7035000,7413000,6.7098,74.367
