Edge Weight,Source,Target
-1.568e-11,fraction_of_agricultural_inputs_for_land_maintenance,fraction_of_agricultural_inputs_alloc_to_land_development
-5.502e-05,fraction_of_agricultural_inputs_for_land_maintenance,fraction_of_industrial_output_allocated_to_agriculture_1
-5.5542e-05,fraction_of_agricultural_inputs_for_land_maintenance,fraction_of_industrial_output_allocated_to_agriculture_2
-5.502e-05,fraction_of_agricultural_inputs_for_land_maintenance,fraction_of_industrial_output_allocated_to_agriculture
5.502e-05,fraction_of_agricultural_inputs_for_land_maintenance,fraction_of_industrial_output_allocated_to_investment
4.2148e-07,fraction_of_agricultural_inputs_for_land_maintenance,fraction_services_allocated_to_fertility_control
-0.0044429,fraction_of_agricultural_inputs_for_land_maintenance,land_yield_technology_change_rate_multiplier
0.016119,fraction_of_agricultural_inputs_for_land_maintenance,marginal_productivity_of_agricultural_inputs
0.0076115,fraction_of_agricultural_inputs_for_land_maintenance,marginal_productivity_of_land_development
8.9946e-05,fraction_of_agricultural_inputs_for_land_maintenance,fertility_control_allocation_per_capita
-0.00016667,fraction_of_agricultural_inputs_for_land_maintenance,land_life_multiplier_from_land_yield_1
-0.00014174,fraction_of_agricultural_inputs_for_land_maintenance,land_life_multiplier_from_land_yield_2
-0.00016667,fraction_of_agricultural_inputs_for_land_maintenance,land_life_multiplier_from_land_yield
-0.019377,fraction_of_agricultural_inputs_for_land_maintenance,total_agricultural_investment
0.019377,fraction_of_agricultural_inputs_for_land_maintenance,industrial_capital_investment
0.00012493,fraction_of_agricultural_inputs_for_land_maintenance,lifetime_multiplier_from_food
-0.016769,fraction_of_agricultural_inputs_for_land_maintenance,current_agricultural_inputs
-0.043279,fraction_of_agricultural_inputs_for_land_maintenance,land_fertility_regeneration
0.0008253,fraction_of_agricultural_inputs_for_land_maintenance,land_fertility_degredation
0.00014562,fraction_of_agricultural_inputs_for_land_maintenance,need_for_fertility_control
0.00050946,fraction_of_agricultural_inputs_for_land_maintenance,maximum_total_fertility
-3.3409e-06,fraction_of_agricultural_inputs_for_land_maintenance,land_development_rate
-1,fraction_of_agricultural_inputs_for_land_maintenance,average_life_of_land
4.2455e-05,fraction_of_agricultural_inputs_for_land_maintenance,fecundity_multiplier
2.869e-07,fraction_of_agricultural_inputs_for_land_maintenance,maturation_14_to_15
9.4011e-08,fraction_of_agricultural_inputs_for_land_maintenance,maturation_44_to_45
5.9756e-08,fraction_of_agricultural_inputs_for_land_maintenance,maturation_64_to_65
-4.4056e-06,fraction_of_agricultural_inputs_for_land_maintenance,mortality_45_to_64
-2.2684e-06,fraction_of_agricultural_inputs_for_land_maintenance,mortality_15_to_44
8.9023e-08,fraction_of_agricultural_inputs_for_land_maintenance,land_erosion_rate
-7.4988e-06,fraction_of_agricultural_inputs_for_land_maintenance,mortality_65_plus
-4.8709e-06,fraction_of_agricultural_inputs_for_land_maintenance,mortality_0_to_14
0.11207,fraction_of_agricultural_inputs_for_land_maintenance,food_per_capita
-2.8204e-06,fraction_of_agricultural_inputs_for_land_maintenance,deaths_15_to_44
-1.1951e-06,fraction_of_agricultural_inputs_for_land_maintenance,deaths_45_to_64
0.00011783,fraction_of_agricultural_inputs_for_land_maintenance,total_fertility
0.0040942,fraction_of_agricultural_inputs_for_land_maintenance,life_expectancy
0.18582,fraction_of_agricultural_inputs_for_land_maintenance,Land_Fertility
-4.3035e-06,fraction_of_agricultural_inputs_for_land_maintenance,deaths_0_to_14
-9.6501e-07,fraction_of_agricultural_inputs_for_land_maintenance,deaths_65_plus
0.41594,fraction_of_agricultural_inputs_for_land_maintenance,land_yield
0.00048727,fraction_of_agricultural_inputs_for_land_maintenance,food_ratio
2.4417e-06,fraction_of_agricultural_inputs_for_land_maintenance,births
-9.284e-06,fraction_of_agricultural_inputs_for_land_maintenance,deaths
0.28318,fraction_of_agricultural_inputs_for_land_maintenance,food
2.3854e-07,fertility_control_facilities_per_capita,fraction_of_industrial_output_alloc_to_consumption_var
-5.2389e-05,fertility_control_facilities_per_capita,fraction_of_industrial_output_allocated_to_agriculture_1
-5.2886e-05,fertility_control_facilities_per_capita,fraction_of_industrial_output_allocated_to_agriculture_2
-5.2389e-05,fertility_control_facilities_per_capita,fraction_of_industrial_output_allocated_to_agriculture
6.2061e-05,fertility_control_facilities_per_capita,fraction_of_industrial_output_allocated_to_investment
-9.6715e-06,fertility_control_facilities_per_capita,fraction_of_industrial_output_allocated_to_services_1
-9.6715e-06,fertility_control_facilities_per_capita,fraction_of_industrial_output_allocated_to_services_2
-9.6715e-06,fertility_control_facilities_per_capita,fraction_of_industrial_output_allocated_to_services
-4.8973e-06,fertility_control_facilities_per_capita,fraction_services_allocated_to_fertility_control
1.5371e-06,fertility_control_facilities_per_capita,urban_and_industrial_land_required_per_capita
-0.0071745,fertility_control_facilities_per_capita,land_yield_technology_change_rate_multiplier
