Year,Quarter,Date,fertility_control_facilities_per_capita,perceived_life_expectancy,delayed_industrial_output_per_capita,desired_completed_family_size,maximum_total_fertility,fecundity_multiplier,population,total_fertility,deaths,Population_0_To_14,Population_15_To_44,Population_45_To_64,Population_65_Plus,food_per_capita,industrial_output,fraction_of_industrial_output_allocated_to_services_1,Persistent_Pollution,Nonrenewable_Resources,Industrial_Capital,Arable_Land,life_expectancy,inflation,GDP_per_capita,inflation_CAN
1900,1,1900Q1,0.09,28.04,41.56,3.35,6.73,0.56,1600000000,5.27,54240000,650000000,700000000,190000000,60000000,269.33,66500000000,0.11,25000000,1.00E+12,26327.9,504114270.2,32,,213.7,
1900,2,1900Q2,,,,,,,,,,,,,,,,,,,,,,,,
1900,3,1900Q3,0.09,28.04,41.56,3.36,6.8,0.57,,,,,,,,,,,,,,,,,,
1900,4,1900Q4,,,,,,,,,,,,,,,,,,,,,,,,
1901,1,1901Q1,0.09,28.04,41.56,3.52,6.79,0.57,,,,,,,,,,,,9.99E+11,,,,,,
1901,2,1901Q2,,,,,,,,,,,,,,,,,,,,,,,,
1901,3,1901Q3,0.09,28.04,41.56,3.63,6.79,0.57,,,,,,,,,,,,,,,,,,
1901,4,1901Q4,,,,,,,,,,,,,,,,,,,,,,,,
1902,1,1902Q1,0.09,28.04,41.56,3.72,6.78,0.57,,,,,,,,,,,,9.99E+11,,,,,,
1902,2,1902Q2,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1902Q3,0.09,28.04,41.56,3.78,6.79,0.57,,,,,,,,,,,,,,,,,,
1902,4,1902Q4,,,,,,,,,,,,,,,,,,,,,,,,
1903,1,1903Q1,0.09,28.04,41.56,3.83,6.79,0.57,,,,,,,,,,,,9.99E+11,,,,,,
1903,2,1903Q2,,,,,,,,,,,,,,,,,,,,,,,,
1903,3,1903Q3,0.09,28.05,41.57,3.86,6.79,0.57,,,,,,,,,,,,,,,,,,
1903,4,1903Q4,,,,,,,,,,,,,,,,,,,,,,,,
1904,1,1904Q1,0.09,28.05,41.57,3.89,6.79,0.57,,,,,,,,,,,,9.98E+11,,,,,,
1904,2,1904Q2,,,,,,,,,,,,,,,,,,,,,,,,
1904,3,1904Q3,0.09,28.05,41.58,3.9,6.8,0.57,,,,,,,,,,,,,,,,,,
1904,4,1904Q4,,,,,,,,,,,,,,,,,,,,,,,,
1905,1,1905Q1,0.09,28.05,41.6,3.91,6.8,0.57,,,,,,,,,,,,9.98E+11,,,,,,
1905,2,1905Q2,,,,,,,,,,,,,,,,,,,,,,,,
1905,3,1905Q3,0.09,28.05,41.62,3.92,6.8,0.57,,,,,,,,,,,,,,,,,,
1905,4,1905Q4,,,,,,,,,,,,,,,,,,,,,,,,
1906,1,1906Q1,0.09,28.05,41.65,3.92,6.81,0.57,,,,,,,,,,,,9.97E+11,,,,,,
1906,2,1906Q2,,,,,,,,,,,,,,,,,,,,,,,,
1906,3,1906Q3,0.09,28.06,41.68,3.92,6.81,0.57,,,,,,,,,,,,,,,,,,
1906,4,1906Q4,,,,,,,,,,,,,,,,,,,,,,,,
1907,1,1907Q1,0.09,28.06,41.73,3.92,6.81,0.57,,,,,,,,,,,,9.96E+11,,,,,,
1907,2,1907Q2,,,,,,,,,,,,,,,,,,,,,,,,
1907,3,1907Q3,0.09,28.06,41.78,3.92,6.82,0.57,,,,,,,,,,,,,,,,,,
1907,4,1907Q4,,,,,,,,,,,,,,,,,,,,,,,,
